node,degree,deg_centrality,betweenness,closeness
0,11,0.0738255033557047,0.004655415867919513,0.43567251461988304
1,5,0.03355704697986577,0.0018853171457478813,0.3850129198966408
2,10,0.06711409395973154,0.004907972321398844,0.4209039548022599
3,3,0.020134228187919462,0.0002568036847075279,0.371571072319202
4,10,0.06711409395973154,0.005802007086265403,0.42329545454545453
5,14,0.09395973154362416,0.01028449943780381,0.4670846394984326
6,14,0.09395973154362416,0.013371310235705735,0.45426829268292684
7,14,0.09395973154362416,0.013276835761542285,0.4584615384615385
8,9,0.060402684563758385,0.00491264573960975,0.42209631728045327
9,12,0.08053691275167785,0.007406716904240875,0.44879518072289154
10,15,0.10067114093959731,0.012630231117083333,0.4613003095975232
11,16,0.10738255033557047,0.013779955715554489,0.4790996784565916
12,10,0.06711409395973154,0.005492922141684481,0.4209039548022599
13,11,0.0738255033557047,0.007227175991591049,0.45151515151515154
14,9,0.060402684563758385,0.0049284607185316265,0.4257142857142857
15,10,0.06711409395973154,0.005618750840982713,0.42939481268011526
16,9,0.060402684563758385,0.004842033819918605,0.42209631728045327
17,10,0.06711409395973154,0.005054110856250459,0.42450142450142453
18,11,0.0738255033557047,0.0062135171264972545,0.43952802359882004
19,12,0.08053691275167785,0.008173213317913337,0.44345238095238093
20,15,0.10067114093959731,0.013908989017896119,0.4670846394984326
21,12,0.08053691275167785,0.0074509463503556845,0.45151515151515154
22,9,0.060402684563758385,0.004955936964194914,0.415041782729805
23,17,0.11409395973154363,0.01738582031968893,0.47003154574132494
24,12,0.08053691275167785,0.007920103930404125,0.44477611940298506
25,12,0.08053691275167785,0.007006471881929347,0.4501510574018127
26,16,0.10738255033557047,0.014609257062776873,0.476038338658147
27,14,0.09395973154362416,0.010361285607162726,0.4421364985163205
28,9,0.060402684563758385,0.004589802822968853,0.4281609195402299
29,12,0.08053691275167785,0.007449330020890567,0.44879518072289154
30,11,0.0738255033557047,0.008180640966548058,0.4318840579710145
31,11,0.0738255033557047,0.007343638603534099,0.44345238095238093
32,12,0.08053691275167785,0.008833356660513589,0.4421364985163205
33,11,0.0738255033557047,0.0060989611797792696,0.4318840579710145
34,9,0.060402684563758385,0.0051299900425991266,0.41620111731843573
35,8,0.053691275167785234,0.0036739646924069127,0.40821917808219177
36,14,0.09395973154362416,0.010617678333197251,0.45426829268292684
37,11,0.0738255033557047,0.006652356317229324,0.4318840579710145
38,11,0.0738255033557047,0.006603400085379864,0.43952802359882004
39,18,0.12080536912751677,0.01722267949572118,0.4806451612903226
40,10,0.06711409395973154,0.00485861797412764,0.4257142857142857
41,9,0.060402684563758385,0.004542311980369367,0.42209631728045327
42,14,0.09395973154362416,0.010735512375481175,0.44879518072289154
43,12,0.08053691275167785,0.007044183777166145,0.43567251461988304
44,14,0.09395973154362416,0.01083823797132404,0.4584615384615385
45,16,0.10738255033557047,0.016975707090643638,0.465625
46,12,0.08053691275167785,0.008233757531678262,0.45426829268292684
47,11,0.0738255033557047,0.006373466786999841,0.42939481268011526
48,17,0.11409395973154363,0.013990265427120499,0.48220064724919093
49,10,0.06711409395973154,0.005411730738955641,0.430635838150289
50,7,0.04697986577181208,0.0027827356426630904,0.4027027027027027
51,13,0.087248322147651,0.009474140196711106,0.44744744744744747
52,13,0.087248322147651,0.007876308402912298,0.44879518072289154
53,10,0.06711409395973154,0.004695489691715541,0.4197183098591549
54,11,0.0738255033557047,0.009646332343364808,0.43440233236151604
55,11,0.0738255033557047,0.005411567072826407,0.43952802359882004
56,6,0.040268456375838924,0.0015847595111127698,0.3952254641909814
57,13,0.087248322147651,0.009707510785233542,0.44744744744744747
58,13,0.087248322147651,0.007693836589034461,0.44610778443113774
59,23,0.15436241610738255,0.02857565845937254,0.5016835016835017
60,14,0.09395973154362416,0.010995343462734302,0.45426829268292684
61,18,0.12080536912751677,0.021248343623568405,0.4790996784565916
62,9,0.060402684563758385,0.00486308660566882,0.41853932584269665
63,8,0.053691275167785234,0.0040495049887783515,0.40053763440860213
64,11,0.0738255033557047,0.008023612117054085,0.4281609195402299
65,14,0.09395973154362416,0.013161574903825997,0.45426829268292684
66,8,0.053691275167785234,0.003984714001159394,0.4116022099447514
67,16,0.10738255033557047,0.014793734055178137,0.46855345911949686
68,11,0.0738255033557047,0.00842080116587832,0.4281609195402299
69,13,0.087248322147651,0.01221389390056335,0.436950146627566
70,16,0.10738255033557047,0.016298517520557682,0.47151898734177217
71,12,0.08053691275167785,0.007103822774450933,0.44744744744744747
72,15,0.10067114093959731,0.013773640122796934,0.4670846394984326
73,15,0.10067114093959731,0.013784380327766077,0.45987654320987653
74,8,0.053691275167785234,0.004468676548385716,0.40821917808219177
75,8,0.053691275167785234,0.0034754589197984426,0.40710382513661203
76,15,0.10067114093959731,0.013870192288348062,0.46273291925465837
77,9,0.060402684563758385,0.0034318479267116705,0.42209631728045327
78,11,0.0738255033557047,0.007649317165440198,0.430635838150289
79,16,0.10738255033557047,0.01452661409163679,0.47151898734177217
80,9,0.060402684563758385,0.0040445120314415405,0.4116022099447514
81,6,0.040268456375838924,0.0015517894983943144,0.39946380697050937
82,5,0.03355704697986577,0.0009085080714571435,0.38107416879795397
83,12,0.08053691275167785,0.007451777983933529,0.44744744744744747
84,12,0.08053691275167785,0.008762288862605562,0.44744744744744747
85,9,0.060402684563758385,0.0042377544580569915,0.41046831955922863
86,9,0.060402684563758385,0.0056362671801368945,0.41046831955922863
87,10,0.06711409395973154,0.005826805042889477,0.4209039548022599
88,13,0.087248322147651,0.010930244041289094,0.43440233236151604
89,12,0.08053691275167785,0.007762045395164774,0.44879518072289154
90,11,0.0738255033557047,0.00963148497563337,0.43567251461988304
91,12,0.08053691275167785,0.009128711699697813,0.43952802359882004
92,15,0.10067114093959731,0.012821366652155148,0.4613003095975232
93,12,0.08053691275167785,0.00649672070301703,0.44744744744744747
94,7,0.04697986577181208,0.0035650717682403537,0.39210526315789473
95,6,0.040268456375838924,0.002057318046069164,0.38701298701298703
96,10,0.06711409395973154,0.006767193692874422,0.43440233236151604
97,9,0.060402684563758385,0.004983248419998155,0.4209039548022599
98,9,0.060402684563758385,0.003743941412243992,0.4173669467787115
99,14,0.09395973154362416,0.010408713174508259,0.44345238095238093
100,19,0.12751677852348994,0.021836856699605563,0.4806451612903226
101,14,0.09395973154362416,0.009589001703574102,0.45426829268292684
102,12,0.08053691275167785,0.007024889189036865,0.44744744744744747
103,18,0.12080536912751677,0.019867753118788453,0.4901315789473684
104,17,0.11409395973154363,0.015730722314339446,0.4775641025641026
105,18,0.12080536912751677,0.018826849349787438,0.4806451612903226
106,13,0.087248322147651,0.009413909055002152,0.44345238095238093
107,15,0.10067114093959731,0.013408064330649212,0.45426829268292684
108,15,0.10067114093959731,0.011505604784444042,0.45426829268292684
109,10,0.06711409395973154,0.006283669112864365,0.4269340974212034
110,12,0.08053691275167785,0.008323905116675535,0.4570552147239264
111,13,0.087248322147651,0.011711306808506173,0.4613003095975232
112,15,0.10067114093959731,0.011698274213558728,0.4670846394984326
113,8,0.053691275167785234,0.003367519979713796,0.41046831955922863
114,12,0.08053691275167785,0.0073594597234348065,0.43952802359882004
115,12,0.08053691275167785,0.00858873177146437,0.4421364985163205
116,9,0.060402684563758385,0.005726057161237695,0.41620111731843573
117,15,0.10067114093959731,0.013422948902979947,0.47003154574132494
118,15,0.10067114093959731,0.011676012529782138,0.45151515151515154
119,16,0.10738255033557047,0.01307024964774033,0.45987654320987653
120,11,0.0738255033557047,0.005528892486218901,0.4421364985163205
121,7,0.04697986577181208,0.002973896194957138,0.3962765957446808
122,5,0.03355704697986577,0.001193907187964126,0.3791348600508906
123,14,0.09395973154362416,0.009796288506432655,0.45565749235474007
124,14,0.09395973154362416,0.011070240133911788,0.4613003095975232
