"SUID","corr","interaction","name","selected","shared interaction","shared name"
"898","0.224","pp","mhf1 (pp) pep4","false","pp","mhf1 (pp) pep4"
"899","0.259","pp","mhf1 (pp) rav1","false","pp","mhf1 (pp) rav1"
"900","0.228","pp","arf3 (pp) hug1","false","pp","arf3 (pp) hug1"
"901","0.294","pp","arf3 (pp) ent1","false","pp","arf3 (pp) ent1"
"902","0.263","pp","arf3 (pp) bcp1-ts","false","pp","arf3 (pp) bcp1-ts"
"903","0.21","pp","arf3 (pp) ste6","false","pp","arf3 (pp) ste6"
"904","0.201","pp","arf3 (pp) mhf1","false","pp","arf3 (pp) mhf1"
"905","0.228","pp","bcp1-ts (pp) pol5-3","false","pp","bcp1-ts (pp) pol5-3"
"906","0.306","pp","bcp1-ts (pp) pol5-1","false","pp","bcp1-ts (pp) pol5-1"
"907","0.277","pp","ent1 (pp) ste6","false","pp","ent1 (pp) ste6"
"908","0.209","pp","arf1 (pp) nmt1-181","false","pp","arf1 (pp) nmt1-181"
"909","0.261","pp","arf1 (pp) stt3-1","false","pp","arf1 (pp) stt3-1"
"910","0.203","pp","stt3-1 (pp) tfb3-ts","false","pp","stt3-1 (pp) tfb3-ts"
"911","0.314","pp","stt3-1 (pp) stt3-2","false","pp","stt3-1 (pp) stt3-2"
"912","0.401","pp","sec39-1 (pp) tip20-5","false","pp","sec39-1 (pp) tip20-5"
"913","0.234","pp","sec39-1 (pp) ufe1-1","false","pp","sec39-1 (pp) ufe1-1"
"914","0.271","pp","sec39-1 (pp) ylr269c","false","pp","sec39-1 (pp) ylr269c"
"915","0.295","pp","sec39-1 (pp) sec39-2","false","pp","sec39-1 (pp) sec39-2"
"916","0.26","pp","sec39-1 (pp) sec39-ph","false","pp","sec39-1 (pp) sec39-ph"
"917","0.259","pp","sec39-1 (pp) sly1-ts","false","pp","sec39-1 (pp) sly1-ts"
"918","0.214","pp","mdy2 (pp) trs85","false","pp","mdy2 (pp) trs85"
"919","0.25","pp","mdy2 (pp) sly1-ts","false","pp","mdy2 (pp) sly1-ts"
"920","0.338","pp","mdy2 (pp) sgt2","false","pp","mdy2 (pp) sgt2"
"921","0.491","pp","mdy2 (pp) yer084w","false","pp","mdy2 (pp) yer084w"
"922","0.215","pp","mdy2 (pp) vti1-2","false","pp","mdy2 (pp) vti1-2"
"923","0.2","pp","mdy2 (pp) uso1-1","false","pp","mdy2 (pp) uso1-1"
"924","0.202","pp","mdy2 (pp) sft2","false","pp","mdy2 (pp) sft2"
"925","0.21","pp","mdy2 (pp) sec18-1","false","pp","mdy2 (pp) sec18-1"
"926","0.239","pp","mdy2 (pp) sec17-1","false","pp","mdy2 (pp) sec17-1"
"927","0.209","pp","mdy2 (pp) ret3-1","false","pp","mdy2 (pp) ret3-1"
"928","0.217","pp","get4 (pp) sly1-ts","false","pp","get4 (pp) sly1-ts"
"929","0.331","pp","get4 (pp) sgt2","false","pp","get4 (pp) sgt2"
"930","0.42","pp","get4 (pp) yer084w","false","pp","get4 (pp) yer084w"
"931","0.217","pp","get4 (pp) vti1-2","false","pp","get4 (pp) vti1-2"
"932","0.208","pp","get4 (pp) ret3-1","false","pp","get4 (pp) ret3-1"
"933","0.221","pp","get4 (pp) sec18-1","false","pp","get4 (pp) sec18-1"
"934","0.226","pp","get4 (pp) sec17-1","false","pp","get4 (pp) sec17-1"
"935","0.454","pp","get4 (pp) mdy2","false","pp","get4 (pp) mdy2"
"936","0.352","pp","tap42-11 (pp) tip41","false","pp","tap42-11 (pp) tip41"
"937","0.313","pp","nuf2-61 (pp) nuf2-ph","false","pp","nuf2-61 (pp) nuf2-ph"
"938","0.245","pp","nuf2-61 (pp) spc24-9","false","pp","nuf2-61 (pp) spc24-9"
"939","0.273","pp","nuf2-61 (pp) tid3-1","false","pp","nuf2-61 (pp) tid3-1"
"940","0.25","pp","nuf2-61 (pp) spc19-ph","false","pp","nuf2-61 (pp) spc19-ph"
"941","0.206","pp","nuf2-61 (pp) spc24-10","false","pp","nuf2-61 (pp) spc24-10"
"942","0.247","pp","nuf2-61 (pp) spc105-15","false","pp","nuf2-61 (pp) spc105-15"
"943","0.23","pp","nuf2-61 (pp) spc105-4","false","pp","nuf2-61 (pp) spc105-4"
"944","0.248","pp","cdc4-2 (pp) cdc4-3","false","pp","cdc4-2 (pp) cdc4-3"
"945","0.247","pp","cdc4-2 (pp) pol1-1","false","pp","cdc4-2 (pp) pol1-1"
"946","0.395","pp","cdc4-2 (pp) pol1-13","false","pp","cdc4-2 (pp) pol1-13"
"947","0.26","pp","cdc4-2 (pp) pol1-17","false","pp","cdc4-2 (pp) pol1-17"
"948","0.258","pp","cdc4-2 (pp) pol1-2","false","pp","cdc4-2 (pp) pol1-2"
"949","0.3","pp","cdc4-2 (pp) pol1-ts","false","pp","cdc4-2 (pp) pol1-ts"
"950","0.218","pp","cdc4-2 (pp) pol12-ts","false","pp","cdc4-2 (pp) pol12-ts"
"951","0.242","pp","cdc4-2 (pp) pri2-1","false","pp","cdc4-2 (pp) pri2-1"
"952","0.258","pp","cdc4-2 (pp) rmi1","false","pp","cdc4-2 (pp) rmi1"
"953","0.22","pp","cdc4-2 (pp) rrm3","false","pp","cdc4-2 (pp) rrm3"
"954","0.321","pp","rav2 (pp) ydr203w","false","pp","rav2 (pp) ydr203w"
"955","0.267","pp","rav2 (pp) vma8","false","pp","rav2 (pp) vma8"
"956","0.205","pp","rav2 (pp) sys1","false","pp","rav2 (pp) sys1"
"957","0.203","pp","rav2 (pp) sec17-1","false","pp","rav2 (pp) sec17-1"
"958","0.264","pp","sec22-1 (pp) ypt6","false","pp","sec22-1 (pp) ypt6"
"959","0.281","pp","sec22-1 (pp) ypt1-3","false","pp","sec22-1 (pp) ypt1-3"
"960","0.428","pp","sec22-1 (pp) ylr269c","false","pp","sec22-1 (pp) ylr269c"
"961","0.208","pp","sec22-1 (pp) sec26-f856aw860a","false","pp","sec22-1 (pp) sec26-f856aw860a"
"962","0.681","pp","sec22-1 (pp) sec22-3","false","pp","sec22-1 (pp) sec22-3"
"963","0.259","pp","sec22-1 (pp) sed5-1","false","pp","sec22-1 (pp) sed5-1"
"964","0.319","pp","sec22-1 (pp) sec27-1","false","pp","sec22-1 (pp) sec27-1"
"965","0.393","pp","sec22-1 (pp) vti1-11","false","pp","sec22-1 (pp) vti1-11"
"966","0.369","pp","sec22-1 (pp) vti1-2","false","pp","sec22-1 (pp) vti1-2"
"967","0.441","pp","sec22-1 (pp) ykt6-ph","false","pp","sec22-1 (pp) ykt6-ph"
"968","0.246","pp","sec22-1 (pp) trs23-ph","false","pp","sec22-1 (pp) trs23-ph"
"969","0.216","pp","sec22-1 (pp) trs85","false","pp","sec22-1 (pp) trs85"
"970","0.393","pp","sec22-1 (pp) uso1-1","false","pp","sec22-1 (pp) uso1-1"
"971","0.242","pp","sec22-1 (pp) vps63","false","pp","sec22-1 (pp) vps63"
"972","0.22","pp","sec22-1 (pp) sys1","false","pp","sec22-1 (pp) sys1"
"973","0.237","pp","sec22-1 (pp) tip20-5","false","pp","sec22-1 (pp) tip20-5"
"974","0.24","pp","sec22-1 (pp) trs20-ph","false","pp","sec22-1 (pp) trs20-ph"
"975","0.236","pp","sec22-1 (pp) sft2","false","pp","sec22-1 (pp) sft2"
"976","0.385","pp","sec22-1 (pp) sly1-ts","false","pp","sec22-1 (pp) sly1-ts"
"977","0.39","pp","ypt1-3 (pp) ypt6","false","pp","ypt1-3 (pp) ypt6"
"978","0.232","pp","trs85 (pp) vps13","false","pp","trs85 (pp) vps13"
"979","0.266","pp","trs85 (pp) vps29","false","pp","trs85 (pp) vps29"
"980","0.215","pp","trs85 (pp) vps30","false","pp","trs85 (pp) vps30"
"981","0.224","pp","trs85 (pp) vps35","false","pp","trs85 (pp) vps35"
"982","0.447","pp","trs85 (pp) uso1-1","false","pp","trs85 (pp) uso1-1"
"983","0.209","pp","trs85 (pp) vam10","false","pp","trs85 (pp) vam10"
"984","0.259","pp","trs85 (pp) vti1-11","false","pp","trs85 (pp) vti1-11"
"985","0.27","pp","trs85 (pp) vps63","false","pp","trs85 (pp) vps63"
"986","0.479","pp","trs85 (pp) vti1-2","false","pp","trs85 (pp) vti1-2"
"987","0.297","pp","trs85 (pp) vps45","false","pp","trs85 (pp) vps45"
"988","0.246","pp","trs85 (pp) vps38","false","pp","trs85 (pp) vps38"
"989","0.2","pp","trs85 (pp) vps53","false","pp","trs85 (pp) vps53"
"990","0.29","pp","trs85 (pp) vps51","false","pp","trs85 (pp) vps51"
"991","0.565","pp","trs85 (pp) ypt1-3","false","pp","trs85 (pp) ypt1-3"
"992","0.218","pp","trs85 (pp) ylr269c","false","pp","trs85 (pp) ylr269c"
"993","0.365","pp","trs85 (pp) ypt6","false","pp","trs85 (pp) ypt6"
"994","0.279","pp","trs85 (pp) yer084w","false","pp","trs85 (pp) yer084w"
"995","0.208","pp","trs85 (pp) yel043w","false","pp","trs85 (pp) yel043w"
"996","0.26","pp","trs85 (pp) ykt6-ph","false","pp","trs85 (pp) ykt6-ph"
"997","0.257","pp","trs85 (pp) yip1-4","false","pp","trs85 (pp) yip1-4"
"998","0.289","pp","uso1-1 (pp) yer084w","false","pp","uso1-1 (pp) yer084w"
"999","0.433","pp","uso1-1 (pp) vti1-2","false","pp","uso1-1 (pp) vti1-2"
"1000","0.237","pp","uso1-1 (pp) vps63","false","pp","uso1-1 (pp) vps63"
"1001","0.255","pp","uso1-1 (pp) vti1-11","false","pp","uso1-1 (pp) vti1-11"
"1002","0.254","pp","uso1-1 (pp) vps30","false","pp","uso1-1 (pp) vps30"
"1003","0.26","pp","uso1-1 (pp) vps38","false","pp","uso1-1 (pp) vps38"
"1004","0.247","pp","uso1-1 (pp) vps13","false","pp","uso1-1 (pp) vps13"
"1005","0.305","pp","uso1-1 (pp) ypt6","false","pp","uso1-1 (pp) ypt6"
"1006","0.474","pp","uso1-1 (pp) ypt1-3","false","pp","uso1-1 (pp) ypt1-3"
"1007","0.527","pp","uso1-1 (pp) ylr269c","false","pp","uso1-1 (pp) ylr269c"
"1008","0.278","pp","uso1-1 (pp) ykt6-ph","false","pp","uso1-1 (pp) ykt6-ph"
"1009","0.203","pp","uso1-1 (pp) yip1-4","false","pp","uso1-1 (pp) yip1-4"
"1010","0.328","pp","trs23-ph (pp) uso1-1","false","pp","trs23-ph (pp) uso1-1"
"1011","0.512","pp","trs23-ph (pp) trs85","false","pp","trs23-ph (pp) trs85"
"1012","0.221","pp","trs23-ph (pp) vti1-11","false","pp","trs23-ph (pp) vti1-11"
"1013","0.413","pp","trs23-ph (pp) vps63","false","pp","trs23-ph (pp) vps63"
"1014","0.338","pp","trs23-ph (pp) vps51","false","pp","trs23-ph (pp) vps51"
"1015","0.235","pp","trs23-ph (pp) vps45","false","pp","trs23-ph (pp) vps45"
"1016","0.255","pp","trs23-ph (pp) ykt6-ph","false","pp","trs23-ph (pp) ykt6-ph"
"1017","0.299","pp","trs23-ph (pp) yip1-4","false","pp","trs23-ph (pp) yip1-4"
"1018","0.357","pp","trs23-ph (pp) vti1-2","false","pp","trs23-ph (pp) vti1-2"
"1019","0.426","pp","trs23-ph (pp) ypt6","false","pp","trs23-ph (pp) ypt6"
"1020","0.405","pp","trs23-ph (pp) ypt1-3","false","pp","trs23-ph (pp) ypt1-3"
"1021","0.22","pp","trs23-ph (pp) ylr269c","false","pp","trs23-ph (pp) ylr269c"
"1022","0.404","pp","vps51 (pp) ypt6","false","pp","vps51 (pp) ypt6"
"1023","0.261","pp","vps51 (pp) wbp1-1","false","pp","vps51 (pp) wbp1-1"
"1024","0.304","pp","vps51 (pp) ypt1-3","false","pp","vps51 (pp) ypt1-3"
"1025","0.254","pp","vps51 (pp) vps63","false","pp","vps51 (pp) vps63"
"1026","0.222","pp","vps51 (pp) vti1-2","false","pp","vps51 (pp) vti1-2"
"1027","0.451","pp","vps51 (pp) vps53","false","pp","vps51 (pp) vps53"
"1028","0.282","pp","vps30 (pp) vti1-2","false","pp","vps30 (pp) vti1-2"
"1029","0.202","pp","vps30 (pp) ypt1-3","false","pp","vps30 (pp) ypt1-3"
"1030","0.214","pp","vps30 (pp) vps45","false","pp","vps30 (pp) vps45"
"1031","0.262","pp","vps30 (pp) vps5","false","pp","vps30 (pp) vps5"
"1032","0.263","pp","vps30 (pp) vps8","false","pp","vps30 (pp) vps8"
"1033","0.244","pp","vps30 (pp) vps9","false","pp","vps30 (pp) vps9"
"1034","0.322","pp","vps30 (pp) vps35","false","pp","vps30 (pp) vps35"
"1035","0.533","pp","vps30 (pp) vps38","false","pp","vps30 (pp) vps38"
"1036","0.222","pp","mit1 (pp) mlh3","false","pp","mit1 (pp) mlh3"
"1037","0.395","pp","vti1-2 (pp) ykt6-ph","false","pp","vti1-2 (pp) ykt6-ph"
"1038","0.482","pp","vti1-2 (pp) ylr269c","false","pp","vti1-2 (pp) ylr269c"
"1039","0.341","pp","vti1-2 (pp) yer084w","false","pp","vti1-2 (pp) yer084w"
"1040","0.217","pp","vti1-2 (pp) yip1-4","false","pp","vti1-2 (pp) yip1-4"
"1041","0.458","pp","vti1-2 (pp) ypt1-3","false","pp","vti1-2 (pp) ypt1-3"
"1042","0.382","pp","vti1-2 (pp) ypt6","false","pp","vti1-2 (pp) ypt6"
"1043","0.295","pp","vti1-2 (pp) ydr203w","false","pp","vti1-2 (pp) ydr203w"
"1044","0.213","pp","vti1-2 (pp) yel043w","false","pp","vti1-2 (pp) yel043w"
"1045","0.264","pp","vps53 (pp) ypt6","false","pp","vps53 (pp) ypt6"
"1046","0.458","pp","vps63 (pp) ypt6","false","pp","vps63 (pp) ypt6"
"1047","0.368","pp","vps63 (pp) ypt1-3","false","pp","vps63 (pp) ypt1-3"
"1048","0.266","pp","vps63 (pp) ykt6-ph","false","pp","vps63 (pp) ykt6-ph"
"1049","0.408","pp","vps63 (pp) vti1-2","false","pp","vps63 (pp) vti1-2"
"1050","0.309","pp","ykt6-ph (pp) ypt6","false","pp","ykt6-ph (pp) ypt6"
"1051","0.283","pp","ykt6-ph (pp) ylr269c","false","pp","ykt6-ph (pp) ylr269c"
"1052","0.398","pp","ykt6-ph (pp) ypt1-3","false","pp","ykt6-ph (pp) ypt1-3"
"1053","0.428","pp","ylr269c (pp) ypt1-3","false","pp","ylr269c (pp) ypt1-3"
"1054","0.238","pp","oca6 (pp) siw14","false","pp","oca6 (pp) siw14"
"1055","0.226","pp","oca4 (pp) oca5","false","pp","oca4 (pp) oca5"
"1056","0.333","pp","oca4 (pp) oca6","false","pp","oca4 (pp) oca6"
"1057","0.248","pp","oca4 (pp) siw14","false","pp","oca4 (pp) siw14"
"1058","0.297","pp","oca2 (pp) siw14","false","pp","oca2 (pp) siw14"
"1059","0.228","pp","oca2 (pp) oca6","false","pp","oca2 (pp) oca6"
"1060","0.248","pp","oca2 (pp) oca4","false","pp","oca2 (pp) oca4"
"1061","0.264","pp","yer084w (pp) ypt1-3","false","pp","yer084w (pp) ypt1-3"
"1062","0.21","pp","oca1 (pp) oca2","false","pp","oca1 (pp) oca2"
"1063","0.225","pp","oca1 (pp) oca4","false","pp","oca1 (pp) oca4"
"1064","0.202","pp","oca1 (pp) oca6","false","pp","oca1 (pp) oca6"
"1065","0.218","pp","ric1 (pp) sec22","false","pp","ric1 (pp) sec22"
"1066","0.253","pp","ric1 (pp) sec17-1","false","pp","ric1 (pp) sec17-1"
"1067","0.204","pp","ric1 (pp) sac7","false","pp","ric1 (pp) sac7"
"1068","0.381","pp","ric1 (pp) sec27-1","false","pp","ric1 (pp) sec27-1"
"1069","0.406","pp","ric1 (pp) sec26-f856aw860a","false","pp","ric1 (pp) sec26-f856aw860a"
"1070","0.212","pp","ric1 (pp) sec26-11d26","false","pp","ric1 (pp) sec26-11d26"
"1071","0.282","pp","ric1 (pp) sec22-1","false","pp","ric1 (pp) sec22-1"
"1072","0.389","pp","ric1 (pp) swa2","false","pp","ric1 (pp) swa2"
"1073","0.322","pp","ric1 (pp) sly1-ts","false","pp","ric1 (pp) sly1-ts"
"1074","0.311","pp","ric1 (pp) sed5-1","false","pp","ric1 (pp) sed5-1"
"1075","0.413","pp","ric1 (pp) trs23-ph","false","pp","ric1 (pp) trs23-ph"
"1076","0.438","pp","ric1 (pp) trs20-ph","false","pp","ric1 (pp) trs20-ph"
"1077","0.348","pp","ric1 (pp) tlg2","false","pp","ric1 (pp) tlg2"
"1078","0.449","pp","ric1 (pp) sys1","false","pp","ric1 (pp) sys1"
"1079","0.383","pp","ric1 (pp) trs85","false","pp","ric1 (pp) trs85"
"1080","0.371","pp","ric1 (pp) uso1-1","false","pp","ric1 (pp) uso1-1"
"1081","0.226","pp","ric1 (pp) vps29","false","pp","ric1 (pp) vps29"
"1082","0.208","pp","ric1 (pp) vps45","false","pp","ric1 (pp) vps45"
"1083","0.35","pp","ric1 (pp) vps51","false","pp","ric1 (pp) vps51"
"1084","0.281","pp","ric1 (pp) vps53","false","pp","ric1 (pp) vps53"
"1085","0.348","pp","ric1 (pp) vps63","false","pp","ric1 (pp) vps63"
"1086","0.231","pp","ric1 (pp) vti1-11","false","pp","ric1 (pp) vti1-11"
"1087","0.423","pp","ric1 (pp) vti1-2","false","pp","ric1 (pp) vti1-2"
"1088","0.214","pp","ric1 (pp) ydr203w","false","pp","ric1 (pp) ydr203w"
